smid,楼盘名称,城区,物业类型,开发商,总套数,总面积,住宅套数,住宅面积,可售总套数,可售总面积,可售住宅套数,可售住宅面积,已售总套数,已售总面积,已售住宅套数,已售住宅面积,累积成交毛坯均价,历史开盘信息,历史开盘信息（次数）
721,瑞立·中央花城,滨江区,"住宅,商业,其他",杭州瑞立房地产开发有限公司,1336,165964.03,1267,159736.7,0,0,0,0,1325,163925.74,1267,159736.7,8187,20064015#20064020#20064028#20074008#,4
2547,润和·信雅达国际,滨江区,"商业,办公,其他",杭州信雅达置业有限公司,430,118840.68,0,0,67,13652.11,0,0,257,68535.09,0,0,12820,20094059#,1
696,润和·亿城嘉园,下城区,"住宅,商业,其他",浙江亿城置业有限公司,755,130567.74,680,87746.64,10,1145.81,0,0,734,93095.46,680,87746.64,7405,20060084#20060117#20060146#20070068#20070115#,5
991,润和·亿城雅苑,下城区,"住宅,商业,其他",浙江屹立置业有限公司,396,35065.48,356,30976.51,12,969.44,8,695.96,376,33001.83,348,30280.55,12462,20090082#20090102#20090123#20090149#,4
647,润和·紫庭花园,下城区,住宅,浙江农发房地产开发有限公司,437,73707.61,405,63513.5,0,0,0,0,424,68080.47,405,63513.5,12060,20050038#20050054#20050058#20070101#,4
2568,赛丽绿城·丽园,上城区,"商业,其他",杭州赛丽绿城置业有限公司,314,47698.93,288,43442.13,97,15638.54,93,14445.31,206,30928.69,195,28996.82,45178,20100070#20100104#,2
715,三墩美都公寓,西湖区,"住宅,商业,办公,其他",杭州美都投资开发有限公司,70,5900.71,60,5132.48,0,0,0,0,60,5088.85,57,4863.65,7462,20060136#,1
611,三墩颐景园,西湖区,商业,杭州三盛颐景园房地产有限公司,983,129950.39,920,113789,1,241.25,0,0,925,114389.07,920,113789,6441,20050052#20050071#20050099#20050104#20060030#20060072#20060108#20060121#20060129#20060138#,10
553,三华·天运花园,江干区,"住宅,其他",杭州三华园房地产开发有限公司,1413,207066.04,1312,151507.82,0,0,0,0,1392,204125.78,1312,151507.82,8295,20040025#20050047#20050081#20070018#20070045#20070057#20080008#,7
1217,三里家园,下城区,商业,杭州三里亭经济房开发有限公司,24,1102.08,0,0,6,390.96,0,0,18,711.12,0,0,14481,20100054#,1
744,三塘樱园,下城区,商业,杭州市居住区发展中心有限公司,23,1665.04,0,0,1,58.92,0,0,20,1372.8,0,0,13232,20070056#,1
2584,商博·东城印象,江干区,商业,浙江商博置业有限公司,275,35952.54,243,30744.43,111,17374.6,89,13004.04,153,17609,153,17609,26925,20110003#20110004#,2
656,商宇·青春都市公寓,江干区,商业,杭州商宇房地产开发有限公司,183,21820.52,162,19954.34,0,0,0,0,173,20706.52,162,19954.34,10709,20060006#20070136#,2
575,商宇·清怡花苑,上城区,"住宅,商业",杭州商宇房地产开发有限公司,243,38188,218,35460.93,0,0,0,0,218,35460.93,218,35460.93,9583,20040066#,1
645,神州·白云大厦,江干区,"商业,办公,其他",杭州神州房地产开发有限公司,126,16623.35,0,0,4,1742.18,0,0,112,12294.33,0,0,8656,20050112#,1
2555,圣奥·领寓,江干区,"住宅,商业,其他",杭州东顺房地产有限公司,64,9482.46,46,6230,47,6641.87,41,5571.64,11,1738.35,4,528.08,21781,20100018#,1
1311,圣奥中央商务大厦,江干区,"商业,办公,其他",浙江圣奥置业有限公司,174,66955.83,0,0,56,22362.09,0,0,86,20573.59,0,0,25741,20100073#,1
681,盛德欣苑,拱墅区,住宅,杭州盛德房地产开发有限公司,267,31442.37,259,30607.54,1,317.97,0,0,211,25043.64,211,25043.64,8061,20060044#20060058#20060092#,3
1436,盛泰·名都中心,下沙区,"住宅,商业,其他",浙江盛泰房地产开发有限公司,1024,138459,528,55050.5,422,37059.14,120,17190.03,584,46956.36,408,37860.47,16566,20093028#20093029#20103032#,3
683,盛元·慧谷,滨江区,"住宅,商业,其他",杭州新盛元房地产开发有限公司,1338,189180.07,1256,179010.64,9,2205.67,7,1927.5,1249,177083.14,1249,177083.14,8792,20064006#20064011#20074007#,3
663,世纪·梧桐公寓,西湖区,"住宅,其他",杭州时代房地产开发有限责任公司,428,65847.96,385,46512.54,2,2297.39,1,153.65,409,49761.37,384,46358.89,14438,20060022#20060054#20060133#20110056#,4
519,世纪新城,西湖区,住宅,杭州星辰房地产开发有限公司,779,106467.48,735,100943.13,0,0,0,0,773,105457.89,735,100943.13,9292,20040006#20040033#20040111#,3
2577,世茂·江滨Cosmo,下沙区,"商业,其他",杭州世茂世纪置业有限公司,2192,137428.65,0,0,733,46999.79,0,0,1443,87429.59,0,0,11880,20103040#20113002#,2
1398,世茂·江滨花园,下沙区,住宅,杭州世茂置业有限公司,4608,598297.61,4539,585893,482,107332.57,476,104185.56,4072,484407.94,4052,479965.29,10472,20083005#20083006#20083008#20083017#20093021#20103001#20103003#20103005#20103012#20103013#20103018#20103024#20103026#20103041#20113006#,15
890,世贸丽晶城,西湖区,住宅,浙江火炬置业发展有限公司,1870,264132.8,805,95653.84,0,0,0,0,1242,182879.55,522,62656.16,17584,20040023#20040091#20050060#20050077#20060100#20060142#20080060#,7
614,水岸帝景公寓,江干区,"住宅,其他",杭州新紫云房地产开发有限公司,356,53037,340,51609.99,0,0,0,0,342,51896.25,340,51609.99,19901,20050036#,1
821,水澄大厦,上城区,"商业,办公,其他",浙江电力房地产开发有限责任公司,151,35676.64,0,0,0,0,0,0,144,33348.33,0,0,11456,20080076#,1
989,水晶湾城市雅苑,滨江区,"住宅,商业,其他",杭州兴汇房地产开发有限公司,114,12767.2,100,8188.54,0,0,0,0,109,9533.15,100,8188.54,13371,20094028#,1
609,顺发·倾城之恋花园,滨江区,商业,杭州和美房地产开发有限公司,1570,230412.22,1499,204283.91,12,4622.09,2,692.1,1543,223966.55,1494,203213.32,7637,20054019#20054025#20054031#20054039#20064018#20084018#,6
751,四季名门城市公寓,下沙区,"住宅,商业,其他",杭州福霖房地产开发有限公司,187,22697.65,158,19308.7,0,0,0,0,181,22372.13,156,19297.51,6896,20073009#,1
525,四季星座大厦,上城区,"商业,办公,其他",杭州市房屋建设开发总公司,304,23469.84,0,0,0,0,0,0,290,22480.11,0,0,8042,20040039#,1
905,宋都·采荷嘉业,江干区,"商业,办公,其他",杭州宋都房地产集团有限公司,12,8030.2,0,0,0,0,0,0,8,7827.79,0,0,7106,20080061#,1
895,宋都·采荷人家,江干区,办公,杭州宋都房地产集团有限公司,511,73545.4,503,72271.3,5,132.65,0,0,503,72271.3,503,72271.3,8971,20040010#20090011#,2
